Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr2L	1147880	0.38329	4.50988	0.424286	promoter-TSS	l(2)10685
chr2L	1150766	1.47388	4.73264	0.484435	promoter-TSS	Vps29
chr2L	1156229	0.0987288	17.7506	0.571129	promoter-TSS	capt
chr2L	1158054	0.393176	0.242743	1.22809	promoter-TSS	capt
chr2L	1164480	0.00371063	6.28874	0.283208	promoter-TSS	IntS14
chr2L	1166580	1.15556	3.46088	0.178682	promoter-TSS	CG14341
chr2L	1170030	0.341771	0.985697	1.17938	promoter-TSS	Plap
chr2L	1172914	0.843487	5.69881	0.150008	promoter-TSS	CG4887
chr2L	1177700	0.449449	3.09071	0.899779	promoter-TSS	CG4896
chr2L	1184088	0.754224	9.03266	0.368527	promoter-TSS	Tgt
chr2L	1186050	0.597419	14.6749	1.58065	promoter-TSS	CG5001
chr2L	1193432	0.379687	11.7048	0.855188	intron	CG5139
chr2L	1198486	1.04258	11.7254	1.39539	promoter-TSS	CG5139
chr2L	1207407	0.355026	14.7512	0.885171	Intergenic	CG14342
chr2L	1229544	1.31345	13.2561	0.210142	3'UTR	CG42329
chr2L	1236480	0.196439	14.8278	0.442192	Intergenic	CG5397
chr2L	1239874	0.472604	9.05273	0.72893	promoter-TSS	CG5397
chr2L	1256100	0.300659	18.1388	0.604513	promoter-TSS	robo3
chr2L	1265241	0.109503	12.0063	0.847965	intron	robo3
chr2L	1271078	0.580784	10.3416	1.21579	intron	robo3
chr2L	1279891	0.485474	13.8073	1.00617	intron	robo3
chr2L	1281131	0.617004	13.9181	0.493849	intron	robo3
chr2L	1292911	0.604447	9.21525	0.404332	exon	a5
chr2L	1299517	0.703452	6.96202	0.568535	Intergenic	a5
chr2L	1304484	0.0451724	15.8007	0.783309	Intergenic	a5
chr2L	1312401	0.193198	14.9101	0.594531	Intergenic	a5
chr2L	1325897	0.283006	12.9396	0.36441	Intergenic	a5
chr2L	1328178	0.508041	14.309	0.179013	promoter-TSS	a5
chr2L	1333306	0.299904	13.6266	0.779428	promoter-TSS	CG5440
chr2L	1336296	0.299295	14.4423	0.0784976	TTS	CG5440
chr2L	1340362	0.255432	12.8935	0.202585	Intergenic	CG33923
chr2L	1346157	0.0440453	13.5113	1.12735	promoter-TSS	lncRNA:CR45006
chr2L	1360638	0.202063	11.3298	0.939697	promoter-TSS	CG31659
chr2L	1361920	5.33725	12.5139	0.601676	promoter-TSS	NLaz
chr2L	1362248	5.27221	12.0771	0.190605	promoter-TSS	NLaz
chr2L	1368896	0.383948	1.36124	1.64755	exon	CG14346
chr2L	1371905	0.506784	11.8991	0.246573	Intergenic	CG14346
chr2L	1375832	0.789264	12.5815	0.11449	Intergenic	asRNA:CR44897
chr2L	1382695	0.0695509	4.22963	0.580154	non-coding	lncRNA:CR44898
chr2L	1383310	0.261103	2.60232	2.20861	TTS	lncRNA:CR44898
chr2L	1384810	0.155516	4.25683	1.12423	intron	lncRNA:CR44898
chr2L	1385796	0.811389	10.2152	0.263067	intron	lncRNA:CR44898
chr2L	1386177	0.704365	12.7003	0.329954	intron	lncRNA:CR44898
chr2L	1386463	0.312593	12.2528	0.366683	intron	lncRNA:CR44898
chr2L	1387065	0.588279	11.9308	0.0969711	intron	lncRNA:CR44898
chr2L	1387483	0.727984	9.64422	0.566845	exon	lncRNA:CR44898
chr2L	1388653	0.218223	10.9337	1.33797	intron	lncRNA:CR44898
chr2L	1389319	0.10876	11.0268	1.8579	intron	lncRNA:CR44898
chr2L	1390399	1.27432	8.38589	0.669743	intron	lncRNA:CR44898
chr2L	1391617	0.478763	2.13963	0.304559	exon	lncRNA:CR44898
chr2L	1393133	0.399603	10.2565	0.815897	intron	lncRNA:CR44898
chr2L	1395842	0.324342	13.0249	0.666616	intron	lncRNA:CR44898
chr2L	1397004	1.60099	10.1343	0.5909	intron	lncRNA:CR44898
chr2L	1398439	0.522162	10.633	0.674158	intron	lncRNA:CR44898
chr2L	1399708	0.701233	10.1422	1.12401	intron	lncRNA:CR44898
chr2L	1401084	0.236309	6.6502	1.08676	intron	robo2
chr2L	1401373	0.18245	5.6904	1.03179	intron	robo2
chr2L	1402123	1.49256	10.4818	0.073612	intron	robo2
chr2L	1403552	0.528769	11.43	0.70716	intron	robo2
chr2L	1405742	0.423916	15.3812	1.61355	intron	robo2
chr2L	1407320	0.800568	5.98185	1.68894	intron	robo2
chr2L	1409381	1.1718	16.7372	0.333252	intron	robo2
chr2L	1412267	0.459599	13.5313	2.47576	intron	robo2
chr2L	1412942	0.334982	16.544	2.10144	intron	robo2
chr2L	1414499	0.276522	12.2588	2.04667	intron	robo2
chr2L	1415786	0.0895566	11.9229	3.93147	intron	robo2
chr2L	1420509	0.447864	1.52888	0.891294	promoter-TSS	robo2
chr2L	1424148	0.97455	12.445	0.0587191	Intergenic	robo2
chr2L	1425013	0.38889	16.7196	0.413823	Intergenic	CG43401
chr2L	1426193	0.216704	17.1434	0.523172	Intergenic	CG43401
chr2L	1426988	0.374745	16.7579	1.27604	Intergenic	CG43401
chr2L	1431557	0.182568	14.7132	0.695745	Intergenic	snRNA:U3
chr2L	1432620	1.3234	14.5891	0.193429	promoter-TSS	snRNA:U3
chr2L	1432888	0.706036	11.3777	0.719754	TTS	snRNA:U3
chr2L	1434078	1.03054	12.1491	0.276468	Intergenic	snRNA:U3
chr2L	1434963	0.382444	8.47688	0.644213	Intergenic	snRNA:U3
chr2L	1437651	0.00956204	14.27	0.585443	Intergenic	snRNA:U3
chr2L	1440185	1.06426	9.3411	1.16365	Intergenic	CG43402
chr2L	1445148	0.741098	16.5591	0.498585	Intergenic	CG43402
chr2L	1446809	0.311141	12.2254	0.830196	Intergenic	CG43402
chr2L	1448532	0.110136	3.52313	1.85214	Intergenic	CG43402
chr2L	1448935	0.597848	4.39385	1.76023	Intergenic	CG43402
chr2L	1450216	0.367376	5.73463	0.876053	Intergenic	CG43402
chr2L	1455371	0.331366	6.48945	1.6938	Intergenic	CG43402
chr2L	1455701	0.232062	8.42959	1.74309	Intergenic	CG43402
chr2L	1456436	0.712878	12.8501	1.36768	Intergenic	CG43402
chr2L	1456735	0.660397	13.7708	0.215758	Intergenic	CG43402
chr2L	1459146	0.148211	14.6084	1.0922	Intergenic	CG43402
chr2L	1460968	0.0886749	8.40779	2.76766	Intergenic	CG43402
chr2L	1461682	0.241013	8.58267	7.71376	Intergenic	CG43402
chr2L	1468612	0.883259	10.6548	1.49766	Intergenic	CG31928
chr2L	1468823	0.483481	7.58975	3.73563	Intergenic	CG31928
chr2L	1469071	0.328481	5.38394	4.64802	Intergenic	CG31928
chr2L	1469373	0.316039	4.59046	4.16209	Intergenic	CG31928
chr2L	1470464	0.0621279	6.92595	7.71593	Intergenic	CG31928
chr2L	1470965	0.0493947	8.28257	6.70782	Intergenic	CG31928
chr2L	1472414	0.260022	6.4769	7.35633	Intergenic	CG31928
chr2L	1473726	0.432784	4.76685	4.60979	Intergenic	CG31928
chr2L	1476884	0.471702	7.66234	1.8556	Intergenic	CG31928
chr2L	1477341	0.228184	8.47414	4.20531	Intergenic	CG31928
chr2L	1477969	0.201576	8.9072	2.87739	Intergenic	CG31928
chr2L	1478286	0.362908	12.335	0.917045	Intergenic	CG31928
chr2L	1478653	1.0134	11.4984	0.332581	Intergenic	CG31928
chr2L	1481571	0.37727	5.52874	1.94071	Intergenic	CG31928
chr2L	1486159	0.174636	8.49915	3.72296	Intergenic	CG31928
chr2L	1486530	0.178124	10.6477	4.16978	Intergenic	CG31928
chr2L	1489469	0.270708	14.1461	0.418831	Intergenic	CG31928
chr2L	1492161	0.703452	10.8247	2.41521	promoter-TSS	CG31928
chr2L	1499030	0.898319	1.66214	0.449709	TTS	CG18131
chr2L	1502809	0.00853841	11.0408	0.972098	promoter-TSS	CG7420
chr2L	1504438	1.11408	6.57886	0.521414	TTS	CG7420
chr2L	1509996	0.35469	12.0289	0.671442	Intergenic	CG7420
chr2L	1513127	0.621862	11.3781	0.29671	Intergenic	CG18132
chr2L	1516427	0.223559	11.1555	0.775069	TTS	CG18132
chr2L	1527784	0.384562	8.41945	0.299943	Intergenic	Or22b
chr2L	1534658	0.0218933	13.0629	0.654304	Intergenic	Or22b
chr2L	1536695	0.373032	13.6963	0.353564	Intergenic	Or22b
chr2L	1538113	0.299904	12.6212	1.03203	Intergenic	Or22b
chr2L	1538629	0.517894	9.60752	1.38239	Intergenic	Or22b
chr2L	1555088	0.39339	5.98433	1.20471	promoter-TSS	haf
chr2L	1556888	0.721294	14.5889	0.370126	5'UTR	haf
chr2L	1559742	0.647462	14.7516	0.407542	intron	haf
chr2L	1560156	0.747362	13.8402	0.52463	intron	haf
chr2L	1562942	0.08702	9.85807	3.61993	intron	haf
chr2L	1566640	0.666996	7.05471	0.729289	intron	haf
chr2L	1569270	0.749176	13.7432	1.6711	intron	haf
chr2L	1570383	0.196835	17.669	0.492965	intron	haf
chr2L	1573940	0.64078	15.9989	0.908232	intron	CG10869
chr2L	1574340	0.546413	14.3782	0.998532	intron	CG10869
chr2L	1575774	0.273924	16.7768	0.493435	intron	CG10869
chr2L	1579416	1.19616	6.20348	0.881415	intron	CG10869
chr2L	1581598	0.405945	10.9549	1.01434	intron	CG10869
chr2L	1582070	1.28653	10.118	0.41882	intron	CG10869
chr2L	1583112	1.15197	8.70692	1.22103	intron	CG10869
chr2L	1583556	0.095517	4.94005	3.95126	intron	CG10869
chr2L	1590140	2.18323	9.51439	0.68038	intron	CG10869
chr2L	1590371	1.66052	8.31359	1.97827	intron	CG10869
chr2L	1592415	0.124308	8.83897	1.50159	intron	CG10869
chr2L	1593125	0.417074	9.347	1.3846	intron	CG10869
chr2L	1594060	0.704342	10.7568	0.0440089	TTS	CG10869
chr2L	1596976	0.376429	2.75655	1.16376	intron	CG10869
chr2L	1599281	0.417682	6.26213	1.67659	intron	CG31935
chr2L	1604218	0.561277	8.08147	1.13795	exon	CG31935
chr2L	1606699	2.26617	9.61474	0.111662	exon	CG31935
chr2L	1606911	1.52022	10.0593	0.880448	exon	CG31935
chr2L	1607433	0.98726	11.8987	1.18785	exon	CG31935
chr2L	1611290	0.133109	4.31644	1.39138	promoter-TSS	CG14352
chr2L	1614078	0.655483	10.3207	0.299704	promoter-TSS	RFeSP
chr2L	1617920	0.265396	15.8787	1.08487	TTS	RFeSP
chr2L	1625216	0.330492	14.2761	0.571825	non-coding	lncRNA:CR44603
chr2L	1627721	3.45206	10.3061	0.360965	Intergenic	lncRNA:CR44603
chr2L	1633068	0.68152	14.7262	0.694374	Intergenic	lncRNA:CR44603
chr2L	1639428	0.863695	14.8253	0.692843	Intergenic	lncRNA:CR45695
chr2L	1643641	3.1433	14.4572	1.96942	Intergenic	lncRNA:CR45695
chr2L	1644534	0.804503	17.1475	0.119271	Intergenic	lncRNA:CR45695
chr2L	1649062	0.315422	14.1618	2.79641	Intergenic	lncRNA:CR45695
chr2L	1649926	0.487604	9.58724	1.14283	Intergenic	chinmo
chr2L	1651254	0.197791	10.6633	1.74425	promoter-TSS	chinmo
chr2L	1657311	0.235803	8.05943	4.02231	intron	chinmo
chr2L	1658272	0.102886	13.5442	3.22024	intron	chinmo
chr2L	1663003	0.755771	16.0125	1.75983	intron	chinmo
chr2L	1663226	0.649299	15.1298	2.17605	intron	chinmo
chr2L	1663538	0.184696	15.2584	2.00656	intron	chinmo
chr2L	1667574	0.734674	14.1352	3.09661	promoter-TSS	chinmo
chr2L	1668658	0.355994	14.3035	3.29814	intron	chinmo
chr2L	1668928	0.335111	12.8191	2.38923	intron	chinmo
chr2L	1669189	0.377215	13.5372	1.19568	intron	chinmo
chr2L	1669495	0.459814	15.1985	2.11419	intron	chinmo
chr2L	1669802	0.83853	16.7663	0.941452	intron	chinmo
chr2L	1672016	1.68947	13.6206	0.316409	intron	chinmo
chr2L	1672423	0.809573	12.7286	1.24693	intron	chinmo
chr2L	1673542	0.506292	12.5871	1.26375	intron	chinmo
chr2L	1673889	0.520662	13.3346	0.388969	intron	chinmo
chr2L	1687074	0.339487	5.13717	1.45251	intron	cpb
chr2L	1688563	0.343619	9.78861	0.414476	intron	cpb
chr2L	1689362	0.574782	12.7445	1.71666	intron	cpb
chr2L	1705004	3.4979	7.0017	0.201864	promoter-TSS	cpb
chr2L	1710452	0.437605	4.8764	0.430551	promoter-TSS	mRpL48
chr2L	1715770	0.365051	16.3437	0.371562	promoter-TSS	frtz
chr2L	1722740	1.4721	8.62818	1.53377	intron	Rim2
chr2L	1723680	0.264574	13.7844	2.7076	intron	Rim2
chr2L	1724238	0.0627314	8.32458	0.257274	TTS	Rim2
chr2L	1727932	1.01252	6.87394	0.831264	promoter-TSS	Eno
chr2L	1729862	0.616904	10.3885	4.95161	promoter-TSS	CG31937
chr2L	1732276	3.19349	0.420768	0.561568	promoter-TSS	CG17652
chr2L	1732582	0.609119	16.1049	0.878381	promoter-TSS	CG17646
chr2L	1737275	0.71158	12.9613	5.10585	promoter-TSS	CG17646
chr2L	1739041	0.729368	13.603	0.630645	intron	CG17646
chr2L	1740172	0.463607	7.11343	2.63817	intron	CG17646
chr2L	1742486	0.0741731	14.3339	1.00169	intron	CG17646
chr2L	1744862	0.509971	12.7263	5.49958	intron	CG17712
chr2L	1747174	0.323609	8.68395	1.44944	intron	CG17712
chr2L	1747633	0.504229	8.56458	1.95638	intron	CG17712
chr2L	1748638	1.04112	18.5631	0.212506	intron	CG17712
chr2L	1749087	0.67874	13.7301	0.530347	intron	CG17712
chr2L	1752127	0.83578	4.78734	1.28834	promoter-TSS	CG17712
chr2L	1753325	0.79495	5.32556	0.610813	TTS	CG17648
chr2L	1756995	0.180792	11.4522	0.819905	promoter-TSS	Gr22f
chr2L	1757581	0.130002	13.823	0.387626	TTS	Gr22f
chr2L	1759133	1.40563	7.78918	1.46569	promoter-TSS	CG17650
chr2L	1759478	0.765086	7.85928	1.96504	promoter-TSS	CG17650
chr2L	1774351	2.34189	15.1319	0.932444	Intergenic	Gr22e
chr2L	1776350	0.623073	12.9918	0.322614	Intergenic	Gr22e
chr2L	1808820	3.63785	14.6343	1.48634	Intergenic	Gr22a
chr2L	1828498	0.171798	13.4614	1.50845	Intergenic	CG31664
chr2L	1836413	0.148909	16.9644	0.521915	promoter-TSS	wry
chr2L	1837894	0.133109	12.837	2.33428	intron	wry
chr2L	1838589	0.219713	13.5536	1.2488	TTS	lncRNA:CR44073
chr2L	1838837	0.0257434	14.3566	0.644718	TTS	lncRNA:CR44073
chr2L	1839281	0.290277	15.9089	0.4482	TTS	lncRNA:CR44073
chr2L	1856685	0.190051	11.5878	0.363771	exon	CG7295
chr2L	1859367	0.21576	14.831	0.320109	TTS	CG7295
chr2L	1860416	0.622336	16.6881	0.180169	intron	CG7295
chr2L	1862185	0.483679	17.5847	0.336325	intron	CG7295
chr2L	1872017	0.0536733	13.1206	0.999338	promoter-TSS	lncRNA:CR44075
chr2L	1873926	0.301662	15.2358	0.33518	TTS	lncRNA:CR44075
chr2L	1884762	0.20485	0.253059	1.03836	5'UTR	Wdr62
chr2L	1886538	1.89032	13.0067	1.52817	intron	Wdr62
chr2L	1887718	0.444342	15.7027	0.509059	intron	Wdr62
chr2L	1890342	0.354949	14.324	2.77296	intron	Wdr62
chr2L	1892268	0.335453	10.3359	5.51828	intron	Wdr62
chr2L	1895715	0.179289	7.63214	2.97037	intron	Wdr62
chr2L	1900942	0.442883	2.23741	3.39215	intron	Wdr62
chr2L	1901400	0.0696208	4.8128	4.18986	intron	Wdr62
chr2L	1902527	0.209487	8.87959	4.37409	intron	Wdr62
chr2L	1903070	0.0703179	1.7374	6.34709	intron	Wdr62
chr2L	1906532	0.259544	9.13048	2.15855	intron	Wdr62
chr2L	1907229	0.248539	8.97048	6.22242	intron	Wdr62
chr2L	1909924	0.486692	6.34832	8.49424	5'UTR	Wdr62
chr2L	1911562	1.16962	7.95575	8.86035	promoter-TSS	Wdr62
chr2L	1918241	0.609145	9.32375	0.837723	intron	Wdr62
chr2L	1918907	0.829831	6.50554	0.383377	intron	Wdr62
chr2L	1920639	0.265006	10.3746	0.375854	intron	Wdr62
chr2L	1923960	0.00583937	12.5287	2.57771	intron	Wdr62
chr2L	1926446	0.203614	5.39711	2.3327	intron	Wdr62
chr2L	1927584	0.72952	11.3274	0.627844	promoter-TSS	Wdr62
chr2L	1928931	0.21207	6.61003	1.30983	intron	Wdr62
chr2L	1929717	0.353983	2.95321	1.87036	intron	Wdr62
chr2L	1931136	0.857453	5.96072	0.572233	intron	Wdr62
chr2L	1932604	0.498854	16.9463	0.42117	intron	Wdr62
chr2L	1938223	0.461362	10.9291	4.05749	intron	CG15357
chr2L	1939072	0.176274	1.51852	2.10026	exon	CG15357
chr2L	1944787	0.0211386	8.38645	1.02841	TTS	CG15357
chr2L	1946173	0.992903	7.96858	0.0927572	promoter-TSS	CG15357
chr2L	1947287	1.48762	10.1585	0.38486	promoter-TSS	CG33673
chr2L	1949327	0.536738	5.23191	0.306597	TTS	CG33673
chr2L	1953666	0.184517	4.37695	1.24499	intron	erm
chr2L	1954739	0.0192609	15.1034	0.617295	promoter-TSS	erm
chr2L	1970636	0.64721	14.4309	2.13893	promoter-TSS	erm
chr2L	1972904	0.329863	5.50639	1.53101	Intergenic	Der-1
chr2L	1974223	3.53817	2.19322	0.376983	5'UTR	Der-1
chr2L	1979560	0.422107	2.60689	1.3828	intron	CG15356
chr2L	1980974	0.151214	5.97467	1.12414	promoter-TSS	CG15362
chr2L	1982033	0.675661	8.80172	0.508387	promoter-TSS	CG7289
chr2L	1982281	0.261502	0.392087	1.36193	promoter-TSS	CG7289
chr2L	1987735	0.268762	0.0754576	1.80559	promoter-TSS	Got2
chr2L	1989621	1.73574	14.549	2.86199	TTS	lncRNA:CR42874
chr2L	1990038	1.74863	15.7013	0.745989	non-coding	lncRNA:CR42874
chr2L	2006305	1.40662	16.3741	1.95056	promoter-TSS	CG33543
chr2L	2009526	0.152509	9.67819	1.16635	promoter-TSS	CG4238
chr2L	2009962	0.817645	8.91836	0.717232	TTS	CG4238
chr2L	2010480	0.387574	11.2587	1.68099	intron	CG4238
chr2L	2011607	0.325797	11.1474	2.57072	promoter-TSS	CG4238
chr2L	2013358	1.33926	11.4118	2.87284	intron	snoRNA:Or-CD14
chr2L	2013814	0.746265	2.01584	7.58144	TTS	snoRNA:Or-CD14
chr2L	2014173	0.790933	8.9107	3.02726	TTS	snoRNA:Or-CD14
chr2L	2015712	0.755164	16.8104	0.0224716	intron	snoRNA:Or-CD14
chr2L	2019483	0.614906	17.281	0.0187898	intron	CG4238
chr2L	2021455	0.31331	12.9773	2.29701	intron	CG4238
chr2L	2022481	0.326718	15.0116	0.785483	intron	CG4238
chr2L	2031631	0.893644	16.6302	0.982029	TTS	CG42296
chr2L	2037851	0.145275	7.60337	1.20087	promoter-TSS	Su(dx)
chr2L	2044293	0.254695	9.71083	3.09559	TTS	lncRNA:CR45298
chr2L	2045041	0.260608	13.1953	0.93562	promoter-TSS	lncRNA:CR45298
chr2L	2045422	0.119994	16.2569	1.78164	promoter-TSS	lncRNA:CR45298
chr2L	2086838	0.588426	15.0423	1.46045	intron	lncRNA:CR44055
chr2L	2087977	0.143099	12.9586	1.17148	intron	lncRNA:CR44055
chr2L	2094527	0.750625	4.51515	1.12669	exon	lncRNA:CR44055
chr2L	2110136	0.341623	15.8979	1.17476	promoter-TSS	dpr3
chr2L	2127602	1.10522	12.6878	2.5343	TTS	CG4259
chr2L	2130624	0.198715	4.01596	2.75024	promoter-TSS	GlyP
chr2L	2131773	4.16436	11.7433	0.3492	intron	GlyP
chr2L	2132083	5.25762	12.8513	0.285812	intron	GlyP
chr2L	2137934	1.31472	1.20492	1.38474	TTS	GlyP
chr2L	2145058	0.177646	1.60113	0.61919	TTS	tho2
chr2L	2147432	0.129885	4.62504	0.879341	promoter-TSS	TBCD
chr2L	2151876	0.2788	3.49896	0.452172	TTS	AIF
chr2L	2155260	0.206695	12.3154	0.325886	promoter-TSS	CG15382
chr2L	2155987	0.218184	14.1959	0.75481	TTS	CG15382
chr2L	2156477	0.566627	14.2282	0.252791	TTS	CG15382
chr2L	2161503	0.443217	17.6889	0.737875	promoter-TSS	aop
chr2L	2161703	0.193408	17.3642	0.980411	promoter-TSS	aop
chr2L	2162123	0.268977	19.2248	0.669304	promoter-TSS	aop
chr2L	2162770	0.426928	17.6664	1.01717	intron	aop
chr2L	2163354	0.382086	18.8406	0.810101	intron	aop
chr2L	2165019	0.176391	17.1208	1.57764	intron	aop
chr2L	2166050	0.47282	17.7214	0.519182	intron	aop
chr2L	2170324	0.163559	8.29107	1.25972	intron	aop
chr2L	2175424	0.77517	16.2606	0.819388	intron	aop
chr2L	2178547	0.306578	4.0937	0.955446	5'UTR	aop
chr2L	2182300	0.560146	18.0023	0.449915	non-coding	lncRNA:CR43751
chr2L	2184909	0.329251	16.0799	1.5219	non-coding	lncRNA:CR43751
chr2L	2187745	0.430767	13.5241	0.582886	TTS	lncRNA:CR44066
chr2L	2188478	0.699359	13.0787	0.520999	promoter-TSS	lncRNA:CR44066
chr2L	2188784	0.410811	13.6234	0.367221	promoter-TSS	lncRNA:CR45290
chr2L	2189223	0.317049	14.3681	0.260918	promoter-TSS	lncRNA:CR45290
chr2L	2192384	1.14079	1.41767	1.02483	promoter-TSS	CG10874
chr2L	2193692	0.338016	9.22395	1.02476	promoter-TSS	CG34172
chr2L	2194506	1.17823	11.8074	1.00225	intron	CG34172
chr2L	2196968	0.256199	6.10317	1.43408	intron	CG34172
chr2L	2202451	0.215342	2.2428	1.26749	Intergenic	CG31668
chr2L	2202801	0.334283	4.15079	1.12237	TTS	CG31668
chr2L	2203229	0.359405	3.09906	0.909907	TTS	CG31668
chr2L	2212534	0.916553	13.053	0.346519	promoter-TSS	CG15385
chr2L	2214145	0.0347026	4.86761	0.903881	promoter-TSS	Uch
chr2L	2216524	0.58567	0.879153	0.316339	promoter-TSS	CG10880
chr2L	2217049	1.03796	2.8108	0.648861	promoter-TSS	CG15386
chr2L	2220913	0.64721	11.7585	0.42571	TTS	papi
chr2L	2221908	0.0972058	14.7416	0.878195	promoter-TSS	papi
chr2L	2222259	0.0327023	15.9503	0.538393	promoter-TSS	papi
chr2L	2226802	0.213316	9.12806	0.64822	promoter-TSS	sau
chr2L	2228264	0.0364409	14.3874	0.354383	promoter-TSS	asRNA:CR44114
chr2L	2236863	0.160853	9.01749	1.24819	promoter-TSS	Sec24CD
chr2L	2242389	0.555398	14.6659	3.28894	promoter-TSS	CG4267
chr2L	2248597	0.463448	5.69342	0.14216	Intergenic	Ser12
chr2L	2279562	0.846625	17.4929	0.407426	intron	lncRNA:CR43753
chr2L	2288279	3.01934	7.54618	1.20748	promoter-TSS	CG42658
chr2L	2311635	0.179289	15.1491	1.37934	promoter-TSS	eys
chr2L	2320003	0.267538	10.1802	0.89106	intron	eys
chr2L	2331226	0.135819	14.9953	1.00337	intron	eys
chr2L	2333079	0.429784	11.3307	1.24612	intron	eys
chr2L	2344157	0.0302867	14.1011	0.731055	intron	CG9967
chr2L	2352065	0.289163	13.2686	0.129502	intron	CG9967
chr2L	2356303	0.303073	13.8755	2.01822	intron	CG9967
chr2L	2357511	0.37154	14.3137	1.67102	promoter-TSS	CG9967
chr2L	2363431	0.329039	11.5104	0.824382	promoter-TSS	Rab5
chr2L	2364279	0.175489	10.4404	1.47368	promoter-TSS	Rab5
chr2L	2364752	0.387715	6.57017	0.805763	promoter-TSS	Rab5
chr2L	2365128	0.154337	4.22292	1.73646	promoter-TSS	Rab5
chr2L	2372112	0.0940183	9.90042	1.02815	promoter-TSS	CG3597
chr2L	2374547	0.120399	8.31007	0.639521	promoter-TSS	CG3609
chr2L	2376128	2.71639	5.94497	0.994238	promoter-TSS	Atxn7
chr2L	2380993	0.219814	5.03725	0.672217	promoter-TSS	Eogt
chr2L	2383204	0.922482	5.29858	0.270976	promoter-TSS	PIG-Wa
chr2L	2388596	0.300898	13.3665	0.429811	TTS	CG43750
chr2L	2391537	0.168844	13.4321	1.10127	promoter-TSS	VGlut
chr2L	2400148	0.0428322	15.6843	1.01442	promoter-TSS	VGlut
chr2L	2412124	0.45427	8.61737	0.587441	intron	CG18641
chr2L	2415252	0.882479	15.7683	0.972813	promoter-TSS	CG18641
chr2L	2420689	0.566025	5.79791	0.712991	promoter-TSS	CG9886
chr2L	2425867	0.125098	13.4098	1.31241	TTS	CG44139
chr2L	2428094	0.26627	14.309	1.35009	promoter-TSS	lncRNA:CR44912
chr2L	2430802	0.412381	7.61308	6.32203	intron	dpp
chr2L	2431850	0.295311	6.61228	2.21448	intron	dpp
chr2L	2433785	0.194563	16.5114	1.22342	intron	dpp
chr2L	2434489	0.324094	15.344	0.855097	intron	dpp
chr2L	2436574	0.200881	11.6466	2.179	intron	dpp
chr2L	2439046	0.206229	14.1486	0.450659	intron	dpp
chr2L	2439322	0.259777	11.7874	0.998652	intron	dpp
chr2L	2441003	0.312664	11.0111	0.708588	intron	dpp
chr2L	2443820	0.66382	11.0452	2.59846	intron	dpp
chr2L	2444277	0.602925	11.3051	1.65297	intron	dpp
chr2L	2444710	0.449833	13.4017	0.303852	intron	dpp
chr2L	2447266	0.338016	12.5521	3.47199	intron	dpp
chr2L	2448670	0.732713	18.5912	0.771609	intron	dpp
chr2L	2449914	0.309723	14.7966	2.26808	promoter-TSS	dpp
chr2L	2451068	0.716981	18.8581	0.558664	promoter-TSS	dpp
chr2L	2454786	0.3205	17.0741	2.02196	promoter-TSS	dpp
chr2L	2460095	0.14092	15.1811	1.08857	TTS	dpp
chr2L	2461792	1.1765	16.254	0.61588	Intergenic	dpp
chr2L	2462570	1.29027	15.813	1.1882	Intergenic	dpp
chr2L	2463518	0.563112	16.6957	0.272692	Intergenic	dpp
chr2L	2467230	0.385922	16.9463	0.484211	Intergenic	lncRNA:CR45286
chr2L	2472056	0.476229	17.4769	0.159163	non-coding	lncRNA:CR45286
chr2L	2473968	0.157538	13.3197	0.842998	promoter-TSS	lncRNA:CR45286
chr2L	2476445	0.458602	13.0485	1.0355	Intergenic	lncRNA:CR45286
chr2L	2481605	1.86242	20.2384	0.0489505	Intergenic	lncRNA:CR45286
chr2L	2483045	0.68712	16.0517	1.39538	Intergenic	Slh
chr2L	2484337	0.484599	16.8537	1.11625	Intergenic	Slh
chr2L	2487033	0.733745	18.5202	0.193692	Intergenic	Slh
chr2L	2492981	0.225123	9.57788	0.563038	promoter-TSS	oaf
chr2L	2494466	0.210737	12.8206	1.56838	intron	oaf
chr2L	2500262	0.266549	13.4575	1.24965	Intergenic	oaf
chr2L	2500626	0.144086	9.97614	3.51224	Intergenic	lncRNA:CR44607
chr2L	2525147	0.646896	14.5151	0.518909	Intergenic	CG3528
chr2L	2526970	0.0362875	12.8205	1.36131	Intergenic	lncRNA:CR44112
chr2L	2527711	0.133511	15.8953	0.114997	Intergenic	lncRNA:CR44112
chr2L	2530620	0.0360328	16.7352	0.582328	Intergenic	lncRNA:CR44112
chr2L	2539784	0.166966	14.3004	1.04419	Intergenic	lncRNA:CR44112
chr2L	2575089	0.6113	7.42943	1.00402	promoter-TSS	Rad1
chr2L	2576871	0.958824	10.6636	2.68131	promoter-TSS	insv
chr2L	2580172	0.639247	5.71909	0.536539	promoter-TSS	ND-B17.2
chr2L	2585321	1.49217	10.3396	1.45535	5'UTR	Drp1
chr2L	2606878	0.450141	7.93076	1.00187	Intergenic	CG15395
chr2L	2612165	0.436369	12.8011	1.17975	TTS	CG15395
chr2L	2656586	0.315541	8.47644	0.825494	TTS	Prosbeta4R2
