Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr2L 1126478 1.29756 18.5951 0.264928 intron Pino
chr2L 1128953 0.466153 4.58971 0.893169 intron Pino
chr2L 1134253 0.555035 17.1954 2.23765 promoter-TSS Pino
chr2L 1134761 0.0235147 21.2633 1.36405 promoter-TSS Iris
chr2L 1135965 0.956982 16.8266 3.13453 promoter-TSS CG4577
chr2L 1136479 2.1602 17.4453 0.900547 intron CG4577
chr2L 1136924 1.69775 17.7548 1.51421 intron CG4577
chr2L 1143011 0.646219 18.6422 0.699233 intron CG4577
chr2L 1147880 0.527844 6.27496 0.429849 promoter-TSS lncRNA:CR45717
chr2L 1150766 1.27235 5.31805 1.17532 promoter-TSS10685 
chr2L 1156229 0.471938 19.8754 1.0536 promoter-TSS Vps29
chr2L 1158054 0.310317 0.226379 1.73607 promoter-TSS capt
chr2L 1164480 0.00135194 7.51251 0.343503 promoter-TSS capt
chr2L 1166580 1.01925 4.38898 0.355296 promoter-TSS IntS14
chr2L 1170030 0.337224 0.804668 1.35321 promoter-TSS CG14341
chr2L 1172914 0.755167 5.69727 0.24463 promoter-TSS Plap
chr2L 1177700 0.209239 2.5027 2.67144 promoter-TSS CG4887
chr2L 1184088 0.755167 8.27202 0.996799 promoter-TSS CG4896
chr2L 1186050 0.626435 17.3202 1.57414 promoter-TSS Tgt
chr2L 1193432 0.475085 13.4736 1.30855 promoter-TSS CG5001
chr2L 1198486 1.37743 10.7774 1.02228 intron CG5139
chr2L 1207407 0.36516 17.6177 0.715631 promoter-TSS CG5139
chr2L 1211760 0.366347 5.8668 1.56166 Intergenic CG14342
chr2L 1229544 1.38476 15.1696 0.262254 Intergenic lncRNA:CR45346
chr2L 1236480 0.514091 17.8879 0.3462 3'-UTR
chr2L 1239874 0.63812 11.0668 0.593525 Intergenic CG5397
chr2L 1256100 0.262775 21.3047 0.644121 promoter-TSS CG5397
chr2L 1265241 0.120265 14.6251 0.744103 promoter-TSS robo3
chr2L 1271078 0.494607 11.8897 1.62326 intron robo3
chr2L 1279891 0.507639 16.4371 0.703524 intron robo3
chr2L 1281131 0.575227 16.808 0.333807 intron robo3
chr2L 1299517 0.897664 8.54471 0.42003 intron robo3
chr2L 1304484 0.0502139 19.0326 0.607348 Intergenic a5
chr2L 1312401 0.190338 17.5277 0.468311 Intergenic a5
chr2L 1315525 0.311397 14.3805 1.62816 Intergenic a5
chr2L 1325897 0.217346 14.9362 0.267958 Intergenic a5
chr2L 1333306 0.239776 14.7044 0.879849 Intergenic a5
chr2L 1336296 0.218452 16.9759 0.0713912 promoter-TSS CG5440
chr2L 1340362 0.214156 14.589 0.191261 TTS CG5440
chr2L 1346157 0.0742934 15.5182 1.17552 Intergenic CG33923
chr2L 1349831 6.44686 9.58 7.50686 promoter-TSS lncRNA:CR45006
chr2L 1360638 0.475571 13.9341 1.24877 Intergenic CG5556
chr2L 1361920 6.04099 14.2221 0.674479 promoter-TSS CG31659
chr2L 1362248 5.47832 12.8439 0.417937 promoter-TSS NLaz
chr2L 1368896 0.281073 1.96998 1.39384 promoter-TSS NLaz
chr2L 1370249 0.139765 10.015 1.54923 exon CG14346
chr2L 1371905 0.549766 14.0995 0.176328 Intergenic CG14346
chr2L 1375832 1.09888 12.8849 0.284398 Intergenic CG14346
chr2L 1380576 0.507737 5.11425 1.56158 Intergenic asRNA:CR44897
chr2L 1381293 0.615713 4.53879 1.19512 promoter-TSS asRNA:CR44897
chr2L 1382695 0.0568412 4.44475 0.699474 promoter-TSS lncRNA:CR44898
chr2L 1383310 0.269292 3.37751 1.85271 non-coding lncRNA:CR44898
chr2L 1384810 0.123749 5.18293 0.955129 TTS lncRNA:CR44898
chr2L 1385796 0.835589 12.0467 0.281783 intron lncRNA:CR44898
chr2L 1386177 0.649843 14.6212 0.321599 intron lncRNA:CR44898
chr2L 1386463 0.377337 14.714 0.262384 intron lncRNA:CR44898
chr2L 1387065 1.02408 13.2185 0.0829236 intron lncRNA:CR44898
chr2L 1387483 1.07196 11.5831 0.344761 intron lncRNA:CR44898
chr2L 1388653 0.622421 13.0654 0.900265 exon lncRNA:CR44898
chr2L 1389319 0.376689 13.0684 1.28624 intron lncRNA:CR44898
chr2L 1390399 1.62084 10.0827 0.257249 intron lncRNA:CR44898
chr2L 1391617 0.589865 2.87333 0.33139 intron lncRNA:CR44898
chr2L 1393133 0.464425 12.1889 0.71344 exon lncRNA:CR44898
chr2L 1395842 0.522602 15.6059 0.504615 intron lncRNA:CR44898
chr2L 1397004 1.69684 11.36 0.654077 intron lncRNA:CR44898
chr2L 1398439 0.388958 11.3283 1.18352 intron lncRNA:CR44898
chr2L 1399010 0.0713999 5.87661 1.71902 intron lncRNA:CR44898
chr2L 1399708 1.18052 12.2549 1.17622 intron lncRNA:CR44898
chr2L 1401084 0.308728 7.12132 1.35308 intron lncRNA:CR44898
chr2L 1401373 0.176463 6.89887 1.05213 intron robo2
chr2L 1402123 1.82257 11.533 0.080187 intron robo2
chr2L 1403552 0.543281 13.7361 0.705414 intron robo2
chr2L 1405742 0.425326 18.3869 1.51005 intron robo2
chr2L 1407320 1.19716 7.5702 1.17135 intron robo2
chr2L 1409381 1.30243 19.7364 0.359017 intron robo2
chr2L 1412267 0.577228 16.3853 2.13837 intron robo2
chr2L 1412942 0.50387 19.876 1.71902 intron robo2
chr2L 1414499 0.28053 14.788 1.94929 intron robo2
chr2L 1415786 0.130509 14.2706 4.56574 intron robo2
chr2L 1420509 0.472639 2.24771 0.92428 intron robo2
chr2L 1424148 0.767964 13.3275 0.18679 promoter-TSS robo2
chr2L 1425013 0.278557 18.6979 0.626215 Intergenic robo2
chr2L 1426193 0.145938 19.5633 0.284006 Intergenic CG43401
chr2L 1426988 0.694645 20.1294 1.31342 Intergenic CG43401
chr2L 1431557 0.41385 17.59 0.590076 Intergenic CG43401
chr2L 1432620 1.57912 17.1086 0.196411 Intergenic snRNA:U3
chr2L 1432888 0.786278 13.6844 0.57101 promoter-TSS snRNA:U3
chr2L 1434078 1.01634 13.5691 0.193779 TTS snRNA:U3
chr2L 1434963 0.540647 8.73017 0.999082 Intergenic snRNA:U3
chr2L 1437651 0.125121 16.177 0.726743 Intergenic snRNA:U3
chr2L 1440185 1.37474 10.1043 1.14068 Intergenic snRNA:U3
chr2L 1445148 0.92553 19.8766 0.297251 Intergenic CG43402
chr2L 1446809 0.300089 14.6454 0.98475 Intergenic CG43402
chr2L 1448532 0.0936546 4.01966 2.05654 Intergenic CG43402
chr2L 1448935 0.547806 4.53277 1.61142 Intergenic CG43402
chr2L 1450216 0.237222 5.63192 1.44599 Intergenic CG43402
chr2L 1455371 0.309706 7.44824 1.59725 Intergenic CG43402
chr2L 1455701 0.202591 8.46054 3.4826 Intergenic CG43402
chr2L 1456436 0.92765 15.4841 1.11889 Intergenic CG43402
chr2L 1456735 0.947034 16.5874 0.169753 Intergenic CG43402
chr2L 1459146 0.123283 16.9742 1.45795 Intergenic CG43402
chr2L 1460968 0.0825043 10.4682 2.88147 Intergenic CG43402
chr2L 1461682 0.230128 10.4802 8.75021 Intergenic CG43402
chr2L 1463517 5.72201 12.5197 6.51716 Intergenic CG43402
chr2L 1468612 1.0852 12.6686 1.0353 Intergenic CG43402
chr2L 1468823 0.564576 8.84266 3.38274 Intergenic CG31928
chr2L 1469071 0.275325 5.8013 5.95746 Intergenic CG31928
chr2L 1469373 0.264921 5.02329 4.26264 Intergenic CG31928
chr2L 1470464 0.0378934 7.46347 8.19814 Intergenic CG31928
chr2L 1470965 0.0716892 9.42907 6.87632 Intergenic CG31928
chr2L 1472414 0.186693 6.19706 10.8133 Intergenic CG31928
chr2L 1473190 0.316915 0.949685 5.50711 Intergenic CG31928
chr2L 1473726 0.501796 6.15626 4.36993 Intergenic CG31928
chr2L 1476884 0.546309 9.09414 1.96676 Intergenic CG31928
chr2L 1477341 0.261943 10.488 3.40361 Intergenic CG31928
chr2L 1477969 0.447965 10.6688 2.56468 Intergenic CG31928
chr2L 1478286 0.548994 13.683 0.991864 Intergenic CG31928
chr2L 1478653 0.958775 12.672 0.421906 Intergenic CG31928
chr2L 1481571 0.399896 7.088 1.61619 Intergenic CG31928
chr2L 1486159 0.177073 10.1528 3.37529 Intergenic CG31928
chr2L 1486530 0.227921 12.8552 4.56544 Intergenic CG31928
chr2L 1489469 0.248478 16.6135 0.258789 Intergenic CG31928
chr2L 1492161 1.09335 13.5014 1.89705 Intergenic CG31928
chr2L 1499030 1.13829 1.94434 0.441298 promoter-TSS CG31928
chr2L 1502809 0.00793979 13.4575 0.867602 TTS CG18131
chr2L 1504438 1.64031 6.36254 1.02816 promoter-TSS CG7420
chr2L 1509996 0.263667 13.7224 0.75283 TTS CG7420
chr2L 1513127 0.739844 13.7201 0.186547 Intergenic CG7420
chr2L 1516427 0.216628 13.5039 0.631505 Intergenic CG18132
chr2L 1527784 0.463904 10.8025 0.441072 TTS CG18132
chr2L 1534658 0.0172078 15.5805 0.69901 Intergenic Or22b
chr2L 1536695 0.289828 16.2493 0.188257 Intergenic Or22b
chr2L 1538113 0.334995 15.3307 0.880976 Intergenic Or22b
chr2L 1538629 0.604801 11.5369 1.28868 Intergenic Or22b
chr2L 1544253 0.929762 7.42777 0.98302 Intergenic Or22b
chr2L 1544571 1.76374 7.41059 1.17085 Intergenic haf
chr2L 1555088 0.41252 7.51795 1.34544 Intergenic haf
chr2L 1556888 0.889649 17.1537 0.247817 promoter-TSS haf
chr2L 1559742 0.621437 17.1651 0.435069 5'-UTR
chr2L 1560156 0.739589 15.7826 0.646702 intron haf
chr2L 1562942 0.0823041 12.1014 2.91415 intron haf
chr2L 1564437 0.440513 10.8166 1.45272 intron haf
chr2L 1566640 0.658409 8.21819 0.902273 intron haf
chr2L 1569270 0.881692 16.6686 1.35535 intron haf
chr2L 1570383 0.225494 21.1252 0.31183 intron haf
chr2L 1573940 0.839245 19.1123 0.978013 intron haf
chr2L 1574340 0.562991 16.9211 1.04334 intron CG10869
chr2L 1575774 0.318333 19.5037 0.447735 intron CG10869
chr2L 1579416 1.50636 7.92671 0.478116 intron CG10869
chr2L 1581598 0.497382 13.2953 1.04348 intron CG10869
chr2L 1582070 1.00689 10.4953 0.847218 intron CG10869
chr2L 1583112 1.42219 10.5918 1.14912 intron CG10869
chr2L 1583556 0.100793 5.58993 4.21125 intron CG10869
chr2L 1590140 3.05187 11.67 0.613787 intron CG10869
chr2L 1590371 2.41018 10.2938 1.72099 intron CG10869
chr2L 1592415 0.11452 10.7234 1.36536 intron CG10869
chr2L 1593125 0.425938 11.1855 1.61027 intron CG10869
chr2L 1594060 0.549747 12.0195 0.0729032 intron CG10869
chr2L 1596976 0.536397 3.26479 1.1229 TTS CG10869
chr2L 1599281 0.46358 7.38645 1.44597 intron CG10869
chr2L 1604218 0.581426 9.5697 1.2536 intron CG31935
chr2L 1606699 1.9136 10.036 0.262134 exon CG31935
chr2L 1606911 1.28122 10.7322 1.14805 exon CG31935
chr2L 1607433 1.03544 13.9856 0.705029 exon CG31935
chr2L 1611290 0.101286 4.54744 1.33239 exon CG31935
chr2L 1614078 0.513033 10.6526 0.545621 promoter-TSS CG14352
chr2L 1617920 0.373641 18.8217 0.804381 promoter-TSS RFeSP
chr2L 1618593 1.03726 19.6092 0.259311 TTS RFeSP
chr2L 1625216 0.338564 17.0009 0.365523 TTS RFeSP
chr2L 1627721 4.50157 11.6923 0.248661 non-coding lncRNA:CR44603
chr2L 1633068 0.831636 15.8543 1.47462 Intergenic lncRNA:CR44603
chr2L 1639428 1.30885 18.012 0.462528 Intergenic lncRNA:CR44603
chr2L 1643429 3.46551 16.4593 3.76855 Intergenic lncRNA:CR45695
chr2L 1643641 3.18937 17.7661 1.47093 Intergenic lncRNA:CR45695
chr2L 1644534 1.07244 19.2652 0.3061 Intergenic lncRNA:CR45695
chr2L 1649062 0.439058 17.0095 3.0844 Intergenic lncRNA:CR45695
chr2L 1649926 0.451224 11.513 1.40993 Intergenic lncRNA:CR45695
chr2L 1651254 0.151725 11.4631 3.51551 Intergenic chinmo
chr2L 1657311 0.345998 9.69642 4.73149 promoter-TSS chinmo
chr2L 1658272 0.108755 15.9832 3.63999 intron chinmo
chr2L 1663003 0.879472 19.1964 1.9123 intron chinmo
chr2L 1663226 0.755283 18.2554 1.99538 intron chinmo
chr2L 1663538 0.188248 18.3799 1.88447 intron chinmo
chr2L 1667574 0.859072 16.8518 1.60771 intron chinmo
chr2L 1668658 0.3383 16.9923 2.25666 promoter-TSS chinmo
chr2L 1668928 0.36324 15.3702 1.98928 intron chinmo
chr2L 1669189 0.410509 16.1336 1.19611 intron chinmo
chr2L 1669495 0.41455 17.2132 2.87824 intron chinmo
chr2L 1669802 0.873296 19.6223 1.1373 intron chinmo
chr2L 1672016 1.72538 15.4928 0.490841 intron chinmo
chr2L 1672423 0.924715 15.1305 1.37979 intron chinmo
chr2L 1673542 0.514525 14.7142 1.57813 intron chinmo
chr2L 1673889 0.447789 15.1381 0.459693 intron chinmo
chr2L 1687074 1.03633 6.07113 1.93848 intron chinmo
chr2L 1688563 0.372345 11.9708 0.337839 intron cpb
chr2L 1689362 0.699305 15.1073 1.88391 intron cpb
chr2L 1691242 1.20749 12.3064 1.5458 intron cpb
chr2L 1693851 0.417497 12.3003 5.84567 intron cpb
chr2L 1705004 3.42498 6.35285 0.348207 intron cpb
chr2L 1710452 0.448297 5.44037 0.429 promoter-TSS cpb
chr2L 1715770 0.212277 17.9047 0.733908 promoter-TSS mRpL48
chr2L 1722740 2.17711 9.8346 2.25233 promoter-TSS frtz
chr2L 1723680 0.185211 15.616 2.30177 intron Rim2
chr2L 1724238 0.187972 9.67014 0.348809 intron Rim2
chr2L 1727932 1.11923 7.63005 0.849852 TTS Rim2
chr2L 1729862 0.574249 11.7024 5.7186 promoter-TSS Eno
chr2L 1732276 4.05802 0.121509 1.20717 promoter-TSS CG31937
chr2L 1732582 0.638506 15.6344 2.99908 promoter-TSS CG17652
chr2L 1737275 0.273662 11.6581 11.3155 promoter-TSS CG17646
chr2L 1739041 1.76328 15.6414 0.749328 promoter-TSS CG17646
chr2L 1740172 0.539101 8.89767 2.50902 intron CG17646
chr2L 1742486 0.457489 16.6171 1.05734 intron CG17646
chr2L 1744862 0.554574 15.4414 3.21843 intron CG17646
chr2L 1747174 0.281144 9.90672 1.4592 intron CG17712
chr2L 1747633 0.580492 11.0395 1.90294 intron CG17712
chr2L 1748638 1.99436 22.4713 0.0632654 intron CG17712
chr2L 1749087 0.883083 16.4356 0.461954 intron CG17712
chr2L 1752127 0.972629 5.54072 1.28895 intron CG17712
chr2L 1753325 0.979404 5.68911 0.870589 promoter-TSS CG17712
chr2L 1754659 0.493219 10.4207 1.53002 TTS CG17648
chr2L 1756995 0.197789 13.5239 0.909735 TTS Gr22f
chr2L 1757581 0.442972 16.2798 0.378008 promoter-TSS Gr22f
chr2L 1759133 1.54529 8.51983 1.45484 TTS Gr22f
chr2L 1759478 1.14721 10.2907 1.82691 promoter-TSS CG17650
chr2L 1760875 0.518571 16.5444 1.32474 promoter-TSS CG17650
chr2L 1774351 2.5813 17.5673 1.41683 Intergenic CG17650
chr2L 1776350 0.802343 13.9825 0.376472 Intergenic Gr22e
chr2L 1803162 4.01628 1.06559 1.56582 Intergenic Gr22e
chr2L 1803560 3.81003 1.51626 3.00648 Intergenic Gr22a
chr2L 1805994 8.32326 14.7758 1.90692 Intergenic Gr22a
chr2L 1808820 4.6177 17.6038 1.43142 Intergenic Gr22a
chr2L 1828498 0.183208 15.6039 1.45714 Intergenic Gr22a
chr2L 1833292 0.323358 16.299 0.634171 Intergenic CG31664
chr2L 1836413 0.114796 19.9371 0.645616 promoter-TSS c-cup
chr2L 1837894 0.0947091 14.7037 2.37279 promoter-TSS wry
chr2L 1838589 0.248621 16.1276 1.09901 intron wry
chr2L 1838837 0.0134526 16.394 0.773845 TTS lncRNA:CR44073
chr2L 1839281 0.196418 17.044 1.15798 TTS lncRNA:CR44073
chr2L 1856685 0.26414 14.1023 0.151524 TTS lncRNA:CR44073
chr2L 1859367 0.117177 16.1751 0.68303 exon CG7295
chr2L 1860416 0.735664 19.778 0.0462087 TTS CG7295
chr2L 1862185 0.544645 19.9281 0.313978 intron CG7295
chr2L 1872017 0.0993689 15.3496 1.10376 intron CG7295
chr2L 1873926 0.325187 17.9025 0.182435 promoter-TSS lncRNA:CR44075
chr2L 1884762 0.30088 0.450743 1.02585 TTS lncRNA:CR44075
chr2L 1886538 3.39412 14.2658 1.69123 5'-UTR
chr2L 1887718 0.399673 18.0751 0.599933 intron Wdr62
chr2L 1890342 0.595475 16.265 3.33277 intron Wdr62
chr2L 1892268 0.217858 10.5596 6.88106 intron Wdr62
chr2L 1895715 0.178899 9.3657 2.37753 intron Wdr62
chr2L 1899603 0.0973876 9.02323 3.73817 intron Wdr62
chr2L 1900942 0.911884 2.65548 2.86598 intron Wdr62
chr2L 1901400 0.330964 5.76317 3.37715 intron Wdr62
chr2L 1902527 0.213996 9.94132 5.02667 intron Wdr62
chr2L 1903070 0.0563827 1.97188 7.24057 intron Wdr62
chr2L 1906532 0.389891 10.0182 2.90256 intron Wdr62
chr2L 1907229 0.288868 10.4739 7.30501 intron Wdr62
chr2L 1909924 0.758915 7.46423 9.01765 intron Wdr62
chr2L 1911562 1.47687 9.54533 10.0558 5'-UTR
chr2L 1913602 0.172712 12.7875 1.67809 promoter-TSS Wdr62
chr2L 1914403 0.664202 15.6664 0.581445 exon Wdr62
chr2L 1914947 0.401316 14.5564 1.50929 intron Wdr62
chr2L 1917441 2.45539 12.818 0.284314 intron Wdr62
chr2L 1918241 0.356823 9.75842 0.874901 intron Wdr62
chr2L 1918907 1.23581 7.44458 0.871997 intron Wdr62
chr2L 1920639 0.641665 11.9388 0.534669 intron Wdr62
chr2L 1922394 2.06695 10.9207 3.46314 intron Wdr62
chr2L 1923960 0.193639 15.2725 2.00408 intron Wdr62
chr2L 1926446 0.416641 6.78075 2.40075 intron Wdr62
chr2L 1927584 0.619657 12.7543 0.780701 intron Wdr62
chr2L 1928931 0.336428 8.15563 1.02931 promoter-TSS Wdr62
chr2L 1929717 0.296011 3.32543 2.30962 intron Wdr62
chr2L 1931136 1.00079 6.94502 0.674493 intron Wdr62
chr2L 1932604 0.483293 18.5935 0.897411 intron Wdr62
chr2L 1932991 0.681774 20.6967 0.202869 intron Wdr62
chr2L 1938223 0.543381 13.1012 4.31513 intron Wdr62
chr2L 1939072 0.159371 2.0927 2.67416 intron CG15357
chr2L 1944787 0.00814816 9.07657 1.54176 exon CG15357
chr2L 1946173 0.373401 7.2182 0.932538 TTS CG15357
chr2L 1947287 1.11091 10.9381 0.691808 promoter-TSS CG15357
chr2L 1949327 0.435296 5.1139 0.420881 promoter-TSS CG33673
chr2L 1953666 0.211604 5.33264 1.15439 TTS CG33673
chr2L 1954739 0.018304 18.0754 0.629149 intron erm
chr2L 1970636 0.637073 16.8096 2.23808 promoter-TSS erm
chr2L 1972904 0.330615 7.01266 1.64107 promoter-TSS erm
chr2L 1974223 3.29864 2.23748 0.844554 Intergenic Der-1
chr2L 1979560 0.393042 2.74604 1.25802 5'-UTR
chr2L 1980974 0.212398 6.85582 1.57465 intron CG15356
chr2L 1982033 0.775506 10.7152 0.446972 promoter-TSS CG15362
chr2L 1982281 0.560862 0.61583 1.45141 promoter-TSS CG7289
chr2L 1987735 0.289015 3.50696 3.02741 promoter-TSS CG7289
chr2L 1989621 1.76374 16.3028 3.97379 promoter-TSS Got2
chr2L 1990038 2.32615 18.719 0.761507 TTS lncRNA:CR42874
chr2L 2006305 1.61004 19.054 2.09801 non-coding lncRNA:CR42874
chr2L 2009526 0.110079 10.7936 1.63368 promoter-TSS CG33543
chr2L 2009962 1.08979 9.79082 0.794378 promoter-TSS CG4238
chr2L 2010480 0.357301 12.419 2.10371 TTS CG4238
chr2L 2011607 0.448588 13.5112 2.48785 intron CG4238
chr2L 2013358 4.41273 14.0273 1.45425 promoter-TSS CG4238
chr2L 2013814 1.02093 2.11217 8.86606 intron snoRNA:Or-CD14
chr2L 2014173 0.820393 10.3801 3.5282 TTS snoRNA:Or-CD14
chr2L 2015712 1.00989 18.5491 0.0762068 TTS snoRNA:Or-CD14
chr2L 2019483 0.266007 18.2825 0.19886 intron snoRNA:Or-CD14
chr2L 2021455 0.203463 13.9755 2.24722 intron CG4238
chr2L 2022481 0.267686 17.2101 0.942056 intron CG4238
chr2L 2031631 0.81177 18.3066 1.15481 intron CG4238
chr2L 2037851 0.140933 8.89534 1.35645 TTS CG42296
chr2L 2044293 0.43004 12.0313 2.76982 promoter-TSS 
chr2L 2045041 0.229562 16.408 1.50032 TTS lncRNA:CR45298
chr2L 2045422 0.751123 18.7347 2.46011 promoter-TSS lncRNA:CR45298
chr2L 2086838 0.541679 18.3226 1.04963 promoter-TSS lncRNA:CR45298
chr2L 2087977 0.291835 15.3597 1.37575 intron lncRNA:CR44055
chr2L 2094527 1.56566 4.73506 1.43261 intron lncRNA:CR44055
chr2L 2107336 1.86545 11.216 0.813302 exon lncRNA:CR44055
chr2L 2110136 0.35729 19.1178 1.136 intron dpr3
chr2L 2127602 1.37305 15.2724 2.7575 promoter-TSS dpr3
chr2L 2130624 0.186929 4.62821 2.92244 TTS CG4259
chr2L 2131773 3.52582 11.2171 0.724164 promoter-TSS GlyP
chr2L 2132083 3.74712 11.3354 0.989244 intron GlyP
chr2L 2137934 1.52765 1.88624 1.47549 intron GlyP
chr2L 2145058 0.132213 1.24865 0.675115 TTS GlyP
chr2L 2147432 0.1158 4.84145 0.906034 TTS tho2
chr2L 2151876 0.221047 4.12052 0.572458 promoter-TSS TBCD
chr2L 2155260 0.186992 14.4605 0.256812 TTS AIF
chr2L 2155987 0.338987 17.0803 0.461361 promoter-TSS CG15382
chr2L 2156477 0.550488 16.2578 0.2684 TTS CG15382
chr2L 2161503 0.289588 19.5555 1.70038 TTS CG15382
chr2L 2161703 0.124678 19.6612 1.67977 promoter-TSS aop
chr2L 2162123 0.119631 21.0117 1.96676 promoter-TSS aop
chr2L 2162770 0.515329 21.1686 0.933089 promoter-TSS aop
chr2L 2163354 0.619957 21.9221 1.03411 intron aop
chr2L 2165019 0.169505 20.5559 1.02991 intron aop
chr2L 2166050 0.530427 20.9288 0.661728 intron aop
chr2L 2170324 0.150832 10.2662 1.23525 intron aop
chr2L 2175424 0.757768 18.8117 1.04379 intron aop
chr2L 2176541 0.726381 21.0369 0.540294 intron aop
chr2L 2178547 0.279236 5.38145 1.08927 intron aop
chr2L 2182300 0.636907 21.6316 0.36428 5'-UTR
chr2L 2184909 0.383427 19.3264 1.46892 non-coding lncRNA:CR43751
chr2L 2187745 0.406655 15.7153 0.696449 non-coding lncRNA:CR43751
chr2L 2188478 0.752278 15.0976 0.571444 TTS lncRNA:CR44066
chr2L 2188784 0.46773 16.2412 0.353912 promoter-TSS lncRNA:CR44066
chr2L 2189223 0.524039 16.486 0.349113 promoter-TSS lncRNA:CR45290
chr2L 2192384 1.19203 2.09862 1.31577 promoter-TSS lncRNA:CR45290
chr2L 2193692 0.273846 10.3175 1.26523 promoter-TSS CG10874
chr2L 2194506 1.24737 13.3645 1.13476 promoter-TSS CG34172
chr2L 2196968 0.243972 7.10794 1.36856 intron CG34172
chr2L 2197414 0.27973 10.7408 0.559694 intron CG34172
chr2L 2200523 0.319331 12.2935 0.878876 5'-UTR
chr2L 2202451 0.212398 2.63849 1.16655 Intergenic CG34172
chr2L 2202801 0.340167 4.89236 1.08929 Intergenic CG31668
chr2L 2203229 0.368966 3.62702 0.880831 TTS CG31668
chr2L 2212534 1.08439 15.715 0.261934 TTS CG31668
chr2L 2214145 0.0216858 5.71733 1.445 promoter-TSS CG15385
chr2L 2216524 0.519082 1.49762 0.544452 promoter-TSS-Uch
chr2L 2217049 1.81128 3.4133 0.861039 promoter-TSS CG10880
chr2L 2220913 0.277987 10.7316 1.68256 promoter-TSS CG15386
chr2L 2221908 0.065439 15.9411 1.71009 TTS papi
chr2L 2222259 0.0027102 15.6385 2.15259 promoter-TSS papi
chr2L 2226802 0.201323 8.92607 1.30272 promoter-TSS papi
chr2L 2228264 0.0129255 15.8881 0.69849 promoter-TSS sau
chr2L 2236863 0.0564149 8.20029 2.94034 promoter-TSS asRNA:CR44114
chr2L 2242389 0.638525 17.641 2.80083 promoter-TSS Sec24CD
chr2L 2248597 0.48901 6.32549 0.151386 promoter-TSS CG4267
chr2L 2279562 2.55575 17.5093 1.03664 Intergenic Ser12
chr2L 2279888 6.51857 15.4054 1.73608 intron lncRNA:CR43753
chr2L 2288279 3.82656 9.02386 0.857338 promoter-TSS lncRNA:CR43753
chr2L 2298296 8.88027 2.72462 3.039 promoter-TSS CG42658
chr2L 2298798 13.0754 4.03396 1.6409 Intergenic CG31949
chr2L 2311635 1.46431 16.2097 2.75238 Intergenic CG31949
chr2L 2320003 0.498144 12.4759 0.549102 promoter-TSS eys
chr2L 2327437 2.01675 13.0828 0.275381 intron eys
chr2L 2331226 0.111744 17.6952 1.01507 exon eys
chr2L 2333079 0.339398 13.0189 1.67616 intron eys
chr2L 2337228 2.43809 12.3697 2.10721 intron eys
chr2L 2344157 0.0633071 16.398 0.90342 intron CG9967
chr2L 2352065 0.198949 14.9527 0.173968 intron CG9967
chr2L 2356303 0.314485 16.5325 1.85986 intron CG9967
chr2L 2357511 0.364426 15.887 2.93477 intron CG9967
chr2L 2363431 0.257707 12.5185 1.26204 promoter-TSS CG9967
chr2L 2364279 0.216608 11.5978 1.4176 promoter-TSS Rab5
chr2L 2364752 0.351497 7.12128 1.0516 promoter-TSS Rab5
chr2L 2365128 0.136581 4.3752 2.10749 promoter-TSS Rab5
chr2L 2372112 0.113208 11.9112 0.802232 promoter-TSS Rab5
chr2L 2374547 0.104411 10.4088 1.4926 promoter-TSS CG3597
chr2L 2376128 1.52577 5.43481 3.57789 promoter-TSS CG3609
chr2L 2380993 0.103074 3.7773 1.61605 promoter-TSS Atxn7
chr2L 2383204 1.09881 4.94157 0.440203 promoter-TSS Eogt
chr2L 2388596 0.420273 15.3751 0.499398 promoter-TSS PIG-Wa
chr2L 2391537 0.193598 16.1884 1.19032 TTS CG43750
chr2L 2400148 0.110149 18.8444 0.818729 promoter-TSS VGlut
chr2L 2412124 0.460311 9.3569 0.533798 promoter-TSS VGlut
chr2L 2415252 0.851258 16.7718 2.02172 intron CG18641
chr2L 2420689 0.517694 5.97187 0.850592 promoter-TSS CG18641
chr2L 2425867 0.0878005 14.7883 1.89186 promoter-TSS CG9886
chr2L 2428094 0.195267 16.2295 1.9432 TTS CG44139
chr2L 2430802 0.487656 9.45905 7.12181 promoter-TSS lncRNA:CR44912
chr2L 2431850 0.304265 8.08015 2.3914 intron dpp
